customer_unique_id,product_id
871766c5855e863f6eccc05f988b23cb,4244733e06e7ecb4970a6e2683c13e61
eb28e67c4c0b83846050ddfb8a35d051,e5f2d52b802189ee658865ca93d83a8f
3818d81c6709e39d06b2738a8d3a2474,c777355d18b72b67abbeef9df44fd0fd
af861d436cfc08b2c2ddefd0ba074622,7634da152a4610f1595efa32f14722fc
64b576fb70d441e8f1b2d7d446e483c5,ac6c3623068f30de03045865e4e10089
85c835d128beae5b4ce8602c491bf385,ef92defde845ab8450f9d70c526ef70f
635d9ac1680f03288e72ada3a1035803,8d4f2bb7e93e6710a28f34fa83ee7d28
fda4476abb6307ab3c415b7e6d026526,557d850972a7d6f792fd18ae1400d9b6
639d23421f5517f69d0c3d6e6564cf0e,310ae3c140ff94b03219ad0adc3c778f
0782c41380992a5a533489063df0eef6,4535b0e1091c278dfd193e5a1d63b39f
107e6259485efac66428a56f10801f4f,d63c1011f49d98b976c352955b1c4bea
3fb97204945ca0c01bcf3eee6031c5f1,f177554ea93259a5b282f24e33f65ab6
7ed0ea20347f67fe61d1c99fdf8556ae,99a4788cb24856965c36a24e339b6058
9e4159995424971423b98c4a8bc11529,368c6c730842d78016ad823897a372db
4987996ddcd0ddb20740fdce7c2bfbb1,8cab8abac59158715e0d70a36c807415
6062db572f3ef38b7a8ff4307abbfad3,3f27ac8e699df3d300ec4a5d8c5cf0b2
6457be0b331148fb5454efc88d1e03d9,4fa33915031a8cde03dd0d3e8fb27f01
f5f088001070650f9e9a8cd773621f35,b50c950aba0dcead2c48032a690ce817
b2c72d1e9f6430603b8337d8f1394a99,5ed9eaf534f6936b51d0b6c5e4d5c2e9
860fc00d3154ce2346c43ebe47b9b6ce,553e0e7590d3116a072507a3635d2877
3588484a539617d91500764822230fb6,57d79905de06d8897872c551bfd09358
1a6cbc34ea404cb0af7ed74df0999354,1c05e0964302b6cf68ca0d15f326c6ba
2193383c470dc9cec894ce78afd0ebd6,5d7c23067ed3fc8c6e699b9373d5890b
e883f26917e2095c439f70c2cf8c914b,5a419dbf24a8c9718fe522b81c69f61a
13df7b623839b4edc579ee40279d57c8,21b1c2f67a9aafb5af0eb06c13b9dbda
02daaa0e021d624d1784c4ea5cc84ace,c389f712c4b4510bc997cee93e8b1a28
7ac26eac431c6848694a2de6f0327524,1c0c0093a48f13ba70d0c6b0a9157cb7
b5910f24d2483d697b37e3857b621061,89321f94e35fc6d7903d36f74e351d40
